ID,DATE4,PROGRAM,TPE,DIRECT,INDIRECT,N,NUMBER,REF
MS 6.4  Demonstrate ,2016Q1,MS-TRAD,6.4  Demonstrate how and when to involve other adults and to communicate effectively with peers and colleagues,2.33,1.72,79,6.4,48
MS 6.5  Demonstrate ,2016Q1,MS-TRAD,6.5  Demonstrate professional responsibility for all aspects of student learning and classroom management,2.38,3.67,79,6.5,49
MS 6.6  Understand r,2016Q1,MS-TRAD,6.6  Understand roles and responsibilities as mandated reporters,2.56,1.93,73,6.6,50
MS 6.7  Critically a,2016Q1,MS-TRAD,6.7  Critically analyze history of public education in California affects… school governance,1.59,3.76,77,6.7,51
MS TPE 1: Engaging a,2016Q2,MS-TRAD,TPE 1: Engaging and Supporting All Students,3.44,3.65,18,1,52
MS 1.1  Apply knowle,2016Q2,MS-TRAD,1.1  Apply knowledge of students to engage them in learning.  ,2.58,2.3,89,1.1,53
MS 1.2  Maintain ong,2016Q2,MS-TRAD,1.2  Maintain ongoing communication with students and families,2.43,1.85,60,1.2,54
MS 1.3  Connect subj,2016Q2,MS-TRAD,1.3  Connect subject matter to real-life contexts,3.43,3.43,22,1.3,55
MS 1.4  Use… appropr,2016Q2,MS-TRAD,1.4  Use… appropriate instructional strategies… within the Classroom,1.17,2.92,13,1.4,56
MS 1.5  Promote stud,2016Q2,MS-TRAD,1.5  Promote students' critical and creative thinking,1.99,3.78,40,1.5,57
MS 1.6  Provide a su,2016Q2,MS-TRAD,1.6  Provide a supportive learning environment,1.22,2.83,74,1.6,58
MS 1.7  Provide stud,2016Q2,MS-TRAD,1.7  Provide students to access  visual and performing arts,1.09,2.33,34,1.7,59
MS 1.8  Monitor stud,2016Q2,MS-TRAD,1.8  Monitor student learning and adjust instruction,3.42,2.69,16,1.8,60
MS TPE 2: Creating a,2016Q2,MS-TRAD,TPE 2: Creating and Maintaining Effective Environments for Student Learning,1.35,1.15,54,2,61
MS 2.1  Promote stud,2016Q2,MS-TRAD,2.1  Promote students' social-emotional growth,3.7,2.84,82,2.1,62
MS 2.2  Create learn,2016Q2,MS-TRAD,2.2  Create learning environments… that promote productive student learning,2.27,3.71,100,2.2,63
"MS 2.3  Establish, m",2016Q2,MS-TRAD,"2.3  Establish, maintain, and monitor inclusive learning environments ",1.96,2.43,96,2.3,64
MS 2.4  Know how to ,2016Q2,MS-TRAD,2.4  Know how to access resources to support students,2.22,1.09,35,2.4,65
MS 2.5  Maintain hig,2016Q2,MS-TRAD,2.5  Maintain high expectations for learning,1.62,3.57,41,2.5,66
MS 2.6  Establish an,2016Q2,MS-TRAD,2.6  Establish and maintain clear expectations for positive classroom behavior,1.11,2.59,83,2.6,67
MS TPE 3: Understand,2016Q2,MS-TRAD,TPE 3: Understanding and Organizing Subject Matter for Student Learning,2.71,3.61,21,3,68
MS 3.1  Demonstrate ,2016Q2,MS-TRAD,3.1  Demonstrate knowledge of subject matter,2.26,1.61,65,3.1,69
MS 3.2  Use knowledg,2016Q2,MS-TRAD,3.2  Use knowledge about students and learning goals to organize the curriculum,2.02,3.98,75,3.2,70
MS 3.3  Plan instruc,2016Q2,MS-TRAD,3.3  Plan instruction consistent with current subject-specific pedagogy,3.25,3.34,57,3.3,71
MS 3.4  Individually,2016Q2,MS-TRAD,3.4  Individually plan for effective subject matter instruction…,3.37,3.85,60,3.4,72
MS 3.5  Adapt and su,2016Q2,MS-TRAD,3.5  Adapt and support the acquisition of academic language,3.91,2.45,75,3.5,73
MS 3.6  Use a range ,2016Q2,MS-TRAD,3.6  Use a range of technology to facilitate students' equitable access to the curriculum.,2.01,2.98,96,3.6,74
MS 3.7  Model and de,2016Q2,MS-TRAD,3.7  Model and develop digital literacy by using technology,2.92,3.03,67,3.7,75
MS 3.8  Demonstrate ,2016Q2,MS-TRAD,3.8  Demonstrate knowledge of effective teaching strategies aligned with… educational technology standards.,2.39,3.45,92,3.8,76
MS TPE 4: Planning I,2016Q2,MS-TRAD,TPE 4: Planning Instruction and Designing Learning Experiences for All Students ,2.76,3.89,99,4,77
MS 4.1  Locate and a,2016Q2,MS-TRAD,4.1  Locate and apply information about students' current academic status,3.37,1.13,18,4.1,78
MS 4.2  Understand t,2016Q2,MS-TRAD,4.2  Understand the range and characteristics of typical and atypical child development,1.65,2.25,38,4.2,79
MS 4.3  Design instr,2016Q2,MS-TRAD,4.3  Design instruction and assessment that reflects the interconnectedness of academic content areas,4,3.57,70,4.3,80
"MS 4.4  Plan, design",2016Q2,MS-TRAD,"4.4  Plan, design, implement and monitor instruction",2.3,3.97,39,4.4,81
MS 4.5  Promote stud,2016Q2,MS-TRAD,4.5  Promote student success,1.76,1.53,36,4.5,82
MS 4.6  Access resou,2016Q2,MS-TRAD,4.6  Access resources for planning and instruction,2.3,2.06,25,4.6,83
MS 4.7  Plan instruc,2016Q2,MS-TRAD,4.7  Plan instruction that promotes a range of communication strategies,2.8,1.57,55,4.7,84
MS 4.8  Use digital ,2016Q2,MS-TRAD,4.8  Use digital tools and learning technologies across learning environments,4,2.73,75,4.8,85
MS TPE 5: Assessing ,2016Q2,MS-TRAD,TPE 5: Assessing Student Learning,1.4,1.62,51,5,86
MS 5.1  Apply knowle,2016Q2,MS-TRAD,5.1  Apply knowledge ofappropriate uses of different types of assessments,3.7,3.07,11,5.1,87
MS 5.2  Collect and ,2016Q2,MS-TRAD,5.2  Collect and analyze assessment data from multiple,2.86,4,47,5.2,88
MS 5.3  Involve all ,2016Q2,MS-TRAD,5.3  Involve all students in self-assessment and reflection on their learning goals,3.05,1.33,62,5.3,89
MS 5.4  Use technolo,2016Q2,MS-TRAD,5.4  Use technology as appropriate to support assessment administration,1.89,2.75,27,5.4,90
MS 5.5  Use assessme,2016Q2,MS-TRAD,5.5  Use assessment information to assist in understanding student progress in meeting learning goals.,2.42,3.76,54,5.5,91
MS 5.6  Work with sp,2016Q2,MS-TRAD,5.6  Work with specialists to interpret assessment results,1.04,3.12,20,5.6,92
MS 5.7  Interpret En,2016Q2,MS-TRAD,5.7  Interpret English learners' assessment data to identify their level of academic proficiency in English…as well as in their primary language,3.87,2.12,60,5.7,93
MS 5.8  Use assessme,2016Q2,MS-TRAD,"5.8  Use assessment data… to establish learning goals and to plan, differentiate, make accommodations and/or modify instruction.",1.27,1.23,66,5.8,94
MS TPE 6: Developing,2016Q2,MS-TRAD,TPE 6: Developing as a Professional Educator,2.21,1.14,82,6,95
MS 6.1  Reflect on t,2016Q2,MS-TRAD,6.1  Reflect on their own teaching practice,1.22,1.04,97,6.1,96
MS 6.2  Recognize th,2016Q2,MS-TRAD,6.2  Recognize their own values and implicit and explicit biases,3.24,2.35,87,6.2,97
MS 6.3  Establish pr,2016Q2,MS-TRAD,6.3  Establish professional learning goals to improve their practice…,1.28,2.4,10,6.3,98
MS 6.4  Demonstrate ,2016Q2,MS-TRAD,6.4  Demonstrate how and when to involve other adults and to communicate effectively with peers and colleagues,1.29,2.49,67,6.4,99
MS 6.5  Demonstrate ,2016Q2,MS-TRAD,6.5  Demonstrate professional responsibility for all aspects of student learning and classroom management,2.6,3.56,64,6.5,100
MS 6.6  Understand r,2016Q2,MS-TRAD,6.6  Understand roles and responsibilities as mandated reporters,3.98,2.89,78,6.6,101
MS 6.7  Critically a,2016Q2,MS-TRAD,6.7  Critically analyze history of public education in California affects… school governance,1.1,3.87,73,6.7,102
MS TPE 1: Engaging a,2016Q3,MS-TRAD,TPE 1: Engaging and Supporting All Students,2.82,3.66,98,1,103
MS 1.1  Apply knowle,2016Q3,MS-TRAD,1.1  Apply knowledge of students to engage them in learning.  ,3.41,1.37,78,1.1,104
MS 1.2  Maintain ong,2016Q3,MS-TRAD,1.2  Maintain ongoing communication with students and families,3.23,3.21,58,1.2,105
MS 1.3  Connect subj,2016Q3,MS-TRAD,1.3  Connect subject matter to real-life contexts,2.02,1.25,89,1.3,106
MS 1.4  Use… appropr,2016Q3,MS-TRAD,1.4  Use… appropriate instructional strategies… within the Classroom,2.8,1.75,22,1.4,107
MS 1.5  Promote stud,2016Q3,MS-TRAD,1.5  Promote students' critical and creative thinking,2.21,1.87,28,1.5,108
MS 1.6  Provide a su,2016Q3,MS-TRAD,1.6  Provide a supportive learning environment,3.85,2.38,25,1.6,109
MS 1.7  Provide stud,2016Q3,MS-TRAD,1.7  Provide students to access  visual and performing arts,3.71,1.86,63,1.7,110
MS 1.8  Monitor stud,2016Q3,MS-TRAD,1.8  Monitor student learning and adjust instruction,2.43,3.98,60,1.8,111
MS TPE 2: Creating a,2016Q3,MS-TRAD,TPE 2: Creating and Maintaining Effective Environments for Student Learning,2.3,1.51,68,2,112
MS 2.1  Promote stud,2016Q3,MS-TRAD,2.1  Promote students' social-emotional growth,2.18,2.99,63,2.1,113
MS 2.2  Create learn,2016Q3,MS-TRAD,2.2  Create learning environments… that promote productive student learning,2.69,3.41,25,2.2,114
"MS 2.3  Establish, m",2016Q3,MS-TRAD,"2.3  Establish, maintain, and monitor inclusive learning environments ",3.74,2.28,69,2.3,115
MS 2.4  Know how to ,2016Q3,MS-TRAD,2.4  Know how to access resources to support students,2.73,3.7,19,2.4,116
MS 2.5  Maintain hig,2016Q3,MS-TRAD,2.5  Maintain high expectations for learning,1.02,2.01,60,2.5,117
MS 2.6  Establish an,2016Q3,MS-TRAD,2.6  Establish and maintain clear expectations for positive classroom behavior,3.9,3.63,14,2.6,118
MS TPE 3: Understand,2016Q3,MS-TRAD,TPE 3: Understanding and Organizing Subject Matter for Student Learning,3.27,3.72,36,3,119
MS 3.1  Demonstrate ,2016Q3,MS-TRAD,3.1  Demonstrate knowledge of subject matter,3.89,1.49,38,3.1,120
MS 3.2  Use knowledg,2016Q3,MS-TRAD,3.2  Use knowledge about students and learning goals to organize the curriculum,3.25,1.71,68,3.2,121
MS 3.3  Plan instruc,2016Q3,MS-TRAD,3.3  Plan instruction consistent with current subject-specific pedagogy,2.81,2.06,74,3.3,122
MS 3.4  Individually,2016Q3,MS-TRAD,3.4  Individually plan for effective subject matter instruction…,3.26,2.1,90,3.4,123
MS 3.5  Adapt and su,2016Q3,MS-TRAD,3.5  Adapt and support the acquisition of academic language,2.94,3.21,61,3.5,124
MS 3.6  Use a range ,2016Q3,MS-TRAD,3.6  Use a range of technology to facilitate students' equitable access to the curriculum.,1.71,3.64,82,3.6,125
MS 3.7  Model and de,2016Q3,MS-TRAD,3.7  Model and develop digital literacy by using technology,1,3.39,83,3.7,126
MS 3.8  Demonstrate ,2016Q3,MS-TRAD,3.8  Demonstrate knowledge of effective teaching strategies aligned with… educational technology standards.,2.81,2.94,99,3.8,127
MS TPE 4: Planning I,2016Q3,MS-TRAD,TPE 4: Planning Instruction and Designing Learning Experiences for All Students ,3.73,2.13,74,4,128
MS 4.1  Locate and a,2016Q3,MS-TRAD,4.1  Locate and apply information about students' current academic status,1.74,1,39,4.1,129
MS 4.2  Understand t,2016Q3,MS-TRAD,4.2  Understand the range and characteristics of typical and atypical child development,2.11,2.72,91,4.2,130
MS 4.3  Design instr,2016Q3,MS-TRAD,4.3  Design instruction and assessment that reflects the interconnectedness of academic content areas,2.09,3.44,43,4.3,131
"MS 4.4  Plan, design",2016Q3,MS-TRAD,"4.4  Plan, design, implement and monitor instruction",1.01,1.86,75,4.4,132
MS 4.5  Promote stud,2016Q3,MS-TRAD,4.5  Promote student success,1.4,3.17,15,4.5,133
MS 4.6  Access resou,2016Q3,MS-TRAD,4.6  Access resources for planning and instruction,2.29,3.34,83,4.6,134
MS 4.7  Plan instruc,2016Q3,MS-TRAD,4.7  Plan instruction that promotes a range of communication strategies,1.07,2.9,88,4.7,135
MS 4.8  Use digital ,2016Q3,MS-TRAD,4.8  Use digital tools and learning technologies across learning environments,1.85,1.89,41,4.8,136
MS TPE 5: Assessing ,2016Q3,MS-TRAD,TPE 5: Assessing Student Learning,2.35,2.74,10,5,137
MS 5.1  Apply knowle,2016Q3,MS-TRAD,5.1  Apply knowledge ofappropriate uses of different types of assessments,3.76,3.85,16,5.1,138
MS 5.2  Collect and ,2016Q3,MS-TRAD,5.2  Collect and analyze assessment data from multiple,2.95,1.42,11,5.2,139
MS 5.3  Involve all ,2016Q3,MS-TRAD,5.3  Involve all students in self-assessment and reflection on their learning goals,3.29,1.04,78,5.3,140
MS 5.4  Use technolo,2016Q3,MS-TRAD,5.4  Use technology as appropriate to support assessment administration,2.9,1.2,20,5.4,141
MS 5.5  Use assessme,2016Q3,MS-TRAD,5.5  Use assessment information to assist in understanding student progress in meeting learning goals.,1.16,2.43,80,5.5,142
MS 5.6  Work with sp,2016Q3,MS-TRAD,5.6  Work with specialists to interpret assessment results,2.46,1.33,90,5.6,143
MS 5.7  Interpret En,2016Q3,MS-TRAD,5.7  Interpret English learners' assessment data to identify their level of academic proficiency in English…as well as in their primary language,3.83,2.12,48,5.7,144
MS 5.8  Use assessme,2016Q3,MS-TRAD,"5.8  Use assessment data… to establish learning goals and to plan, differentiate, make accommodations and/or modify instruction.",1.68,1.86,62,5.8,145
MS TPE 6: Developing,2016Q3,MS-TRAD,TPE 6: Developing as a Professional Educator,2.9,3.36,88,6,146
MS 6.1  Reflect on t,2016Q3,MS-TRAD,6.1  Reflect on their own teaching practice,1.37,2.05,12,6.1,147
MS 6.2  Recognize th,2016Q3,MS-TRAD,6.2  Recognize their own values and implicit and explicit biases,3.87,3.05,43,6.2,148
MS 6.3  Establish pr,2016Q3,MS-TRAD,6.3  Establish professional learning goals to improve their practice…,2.34,2.22,29,6.3,149
MS 6.4  Demonstrate ,2016Q3,MS-TRAD,6.4  Demonstrate how and when to involve other adults and to communicate effectively with peers and colleagues,3.61,2,30,6.4,150
MS 6.5  Demonstrate ,2016Q3,MS-TRAD,6.5  Demonstrate professional responsibility for all aspects of student learning and classroom management,2.27,3.11,13,6.5,151
MS 6.6  Understand r,2016Q3,MS-TRAD,6.6  Understand roles and responsibilities as mandated reporters,2.59,2.3,98,6.6,152
MS 6.7  Critically a,2016Q3,MS-TRAD,6.7  Critically analyze history of public education in California affects… school governance,2.93,3.32,73,6.7,153
MS TPE 1: Engaging a,2016Q4,MS-TRAD,TPE 1: Engaging and Supporting All Students,3.91,1.5,70,1,154
MS 1.1  Apply knowle,2016Q4,MS-TRAD,1.1  Apply knowledge of students to engage them in learning.  ,2.63,1.94,42,1.1,155
MS 1.2  Maintain ong,2016Q4,MS-TRAD,1.2  Maintain ongoing communication with students and families,1.89,3.7,61,1.2,156
MS 1.3  Connect subj,2016Q4,MS-TRAD,1.3  Connect subject matter to real-life contexts,2.05,3.09,30,1.3,157
MS 1.4  Use… appropr,2016Q4,MS-TRAD,1.4  Use… appropriate instructional strategies… within the Classroom,1.19,3.29,33,1.4,158
MS 1.5  Promote stud,2016Q4,MS-TRAD,1.5  Promote students' critical and creative thinking,2.35,3.39,82,1.5,159
MS 1.6  Provide a su,2016Q4,MS-TRAD,1.6  Provide a supportive learning environment,3.08,3.03,93,1.6,160
MS 1.7  Provide stud,2016Q4,MS-TRAD,1.7  Provide students to access  visual and performing arts,3.56,1.41,40,1.7,161
MS 1.8  Monitor stud,2016Q4,MS-TRAD,1.8  Monitor student learning and adjust instruction,1.85,1.45,95,1.8,162
MS TPE 2: Creating a,2016Q4,MS-TRAD,TPE 2: Creating and Maintaining Effective Environments for Student Learning,3.78,2.67,17,2,163
MS 2.1  Promote stud,2016Q4,MS-TRAD,2.1  Promote students' social-emotional growth,1.17,3.59,52,2.1,164
MS 2.2  Create learn,2016Q4,MS-TRAD,2.2  Create learning environments… that promote productive student learning,1.45,1.6,33,2.2,165
"MS 2.3  Establish, m",2016Q4,MS-TRAD,"2.3  Establish, maintain, and monitor inclusive learning environments ",2.54,3.29,61,2.3,166
MS 2.4  Know how to ,2016Q4,MS-TRAD,2.4  Know how to access resources to support students,1.43,1.18,26,2.4,167
MS 2.5  Maintain hig,2016Q4,MS-TRAD,2.5  Maintain high expectations for learning,3.94,1.53,74,2.5,168
MS 2.6  Establish an,2016Q4,MS-TRAD,2.6  Establish and maintain clear expectations for positive classroom behavior,2.03,2.24,23,2.6,169
MS TPE 3: Understand,2016Q4,MS-TRAD,TPE 3: Understanding and Organizing Subject Matter for Student Learning,1.42,1.68,11,3,170
MS 3.1  Demonstrate ,2016Q4,MS-TRAD,3.1  Demonstrate knowledge of subject matter,1.18,2.95,64,3.1,171
MS 3.2  Use knowledg,2016Q4,MS-TRAD,3.2  Use knowledge about students and learning goals to organize the curriculum,3.92,2.4,61,3.2,172
MS 3.3  Plan instruc,2016Q4,MS-TRAD,3.3  Plan instruction consistent with current subject-specific pedagogy,2.25,1.44,85,3.3,173
MS 3.4  Individually,2016Q4,MS-TRAD,3.4  Individually plan for effective subject matter instruction…,1.48,3.69,30,3.4,174
MS 3.5  Adapt and su,2016Q4,MS-TRAD,3.5  Adapt and support the acquisition of academic language,1,3.12,63,3.5,175
MS 3.6  Use a range ,2016Q4,MS-TRAD,3.6  Use a range of technology to facilitate students' equitable access to the curriculum.,1.66,2.34,52,3.6,176
MS 3.7  Model and de,2016Q4,MS-TRAD,3.7  Model and develop digital literacy by using technology,1.55,1.93,34,3.7,177
MS 3.8  Demonstrate ,2016Q4,MS-TRAD,3.8  Demonstrate knowledge of effective teaching strategies aligned with… educational technology standards.,3.89,3.63,33,3.8,178
MS TPE 4: Planning I,2016Q4,MS-TRAD,TPE 4: Planning Instruction and Designing Learning Experiences for All Students ,2.77,1.84,40,4,179
MS 4.1  Locate and a,2016Q4,MS-TRAD,4.1  Locate and apply information about students' current academic status,3.74,2.87,61,4.1,180
MS 4.2  Understand t,2016Q4,MS-TRAD,4.2  Understand the range and characteristics of typical and atypical child development,1.29,2.96,34,4.2,181
MS 4.3  Design instr,2016Q4,MS-TRAD,4.3  Design instruction and assessment that reflects the interconnectedness of academic content areas,2.85,1.86,11,4.3,182
"MS 4.4  Plan, design",2016Q4,MS-TRAD,"4.4  Plan, design, implement and monitor instruction",3.26,3.54,93,4.4,183
MS 4.5  Promote stud,2016Q4,MS-TRAD,4.5  Promote student success,2.39,1.54,28,4.5,184
MS 4.6  Access resou,2016Q4,MS-TRAD,4.6  Access resources for planning and instruction,3.36,1.14,49,4.6,185
MS 4.7  Plan instruc,2016Q4,MS-TRAD,4.7  Plan instruction that promotes a range of communication strategies,3.21,3.1,57,4.7,186
MS 4.8  Use digital ,2016Q4,MS-TRAD,4.8  Use digital tools and learning technologies across learning environments,3.89,1.49,16,4.8,187
MS TPE 5: Assessing ,2016Q4,MS-TRAD,TPE 5: Assessing Student Learning,3.5,3.39,87,5,188
MS 5.1  Apply knowle,2016Q4,MS-TRAD,5.1  Apply knowledge ofappropriate uses of different types of assessments,3.93,3.16,29,5.1,189
MS 5.2  Collect and ,2016Q4,MS-TRAD,5.2  Collect and analyze assessment data from multiple,3.82,3.65,52,5.2,190
MS 5.3  Involve all ,2016Q4,MS-TRAD,5.3  Involve all students in self-assessment and reflection on their learning goals,3.23,2.05,96,5.3,191
MS 5.4  Use technolo,2016Q4,MS-TRAD,5.4  Use technology as appropriate to support assessment administration,3.31,2.82,24,5.4,192
MS 5.5  Use assessme,2016Q4,MS-TRAD,5.5  Use assessment information to assist in understanding student progress in meeting learning goals.,1.24,1.15,87,5.5,193
MS 5.6  Work with sp,2016Q4,MS-TRAD,5.6  Work with specialists to interpret assessment results,3.78,2.83,70,5.6,194
MS 5.7  Interpret En,2016Q4,MS-TRAD,5.7  Interpret English learners' assessment data to identify their level of academic proficiency in English…as well as in their primary language,3.75,3.91,80,5.7,195
MS 5.8  Use assessme,2016Q4,MS-TRAD,"5.8  Use assessment data… to establish learning goals and to plan, differentiate, make accommodations and/or modify instruction.",1.26,2.7,15,5.8,196
MS TPE 6: Developing,2016Q4,MS-TRAD,TPE 6: Developing as a Professional Educator,3.28,1.04,86,6,197
MS 6.1  Reflect on t,2016Q4,MS-TRAD,6.1  Reflect on their own teaching practice,1.81,1.14,77,6.1,198
MS 6.2  Recognize th,2016Q4,MS-TRAD,6.2  Recognize their own values and implicit and explicit biases,3.82,1.78,71,6.2,199
MS 6.3  Establish pr,2016Q4,MS-TRAD,6.3  Establish professional learning goals to improve their practice…,3.01,1.68,16,6.3,200
MS 6.4  Demonstrate ,2016Q4,MS-TRAD,6.4  Demonstrate how and when to involve other adults and to communicate effectively with peers and colleagues,1.98,1.4,68,6.4,201
MS 6.5  Demonstrate ,2016Q4,MS-TRAD,6.5  Demonstrate professional responsibility for all aspects of student learning and classroom management,2.57,3.62,71,6.5,202
MS 6.6  Understand r,2016Q4,MS-TRAD,6.6  Understand roles and responsibilities as mandated reporters,2.43,2.22,100,6.6,203
MS 6.7  Critically a,2016Q4,MS-TRAD,6.7  Critically analyze history of public education in California affects… school governance,1.06,2.88,80,6.7,204
MS-B TPE 1: Engaging,2016Q1,MS-BILINGUAL,TPE 1: Engaging and Supporting All Students,3.54,1.01,79,1,205
MS-B 1.1  Apply know,2016Q1,MS-BILINGUAL,1.1  Apply knowledge of students to engage them in learning.  ,1.78,3.89,34,1.1,206
MS-B 1.2  Maintain o,2016Q1,MS-BILINGUAL,1.2  Maintain ongoing communication with students and families,3.71,2.53,28,1.2,207
MS-B 1.3  Connect su,2016Q1,MS-BILINGUAL,1.3  Connect subject matter to real-life contexts,1.87,2.44,81,1.3,208
MS-B 1.4  Use… appro,2016Q1,MS-BILINGUAL,1.4  Use… appropriate instructional strategies… within the Classroom,3.07,3.12,27,1.4,209
MS-B 1.5  Promote st,2016Q1,MS-BILINGUAL,1.5  Promote students' critical and creative thinking,3.41,2.34,14,1.5,210
